,Alpha,Alpha,Alpha,Beta,Beta,Beta,Delta,Delta,Delta,Gamma,Gamma,Gamma,Theta,Theta,Theta,,,
,CSP,RIE,SPoC,CSP,RIE,SPoC,CSP,RIE,SPoC,CSP,RIE,SPoC,CSP,RIE,SPoC,,,
3TM_01-100.set,0.85,1,0.714,1,1,0.893,0.433,0.65,0.607,0.967,0.967,0.964,0.533,0.583,0.607,,,
4EB_01-100.set,1,0.967,0.967,0.933,0.967,0.9,0.967,1,0.767,0.967,0.933,0.9,0.967,1,0.767,,,
5LL_01-100.set,1,1,0.967,1,1,1,0.8,0.767,0.533,0.933,0.967,0.933,0.833,0.967,0.667,,,
7IG_01-100.set,0.967,0.967,1,0.967,1,0.967,0.733,0.9,0.633,0.967,0.967,0.967,0.633,0.867,0.767,,,
10OS_01-100.set,0.933,0.967,0.724,0.967,1,1,0.583,0.75,0.552,0.967,0.967,0.793,0.833,0.817,0.793,,,
11TP_01-100.set,1,1,0.931,0.967,1,0.966,0.933,0.967,0.828,0.95,0.933,0.862,0.95,1,1,,,
13MT_01-100.set,0.967,0.9,0.75,0.95,0.933,0.964,0.967,1,0.786,0.967,0.967,0.929,0.967,0.917,0.75,,,Beta and Alpha are the best performing frequency bands
14JR_01-100.set,0.567,1,0.75,0.933,0.967,0.714,0.933,0.967,0.679,0.883,0.9,0.893,0.967,0.967,0.714,,,
15DM_01-100.set,1,1,0.967,0.967,1,1,1,1,0.8,0.967,0.933,0.967,1,1,0.867,,,
16ET_01-100.set,0.7,0.967,0.679,0.967,1,0.929,0.533,0.65,0.536,0.967,0.967,0.964,0.767,0.933,0.786,,,
17RP_01-100.set,1,1,0.933,0.967,1,0.967,0.967,0.967,0.9,0.967,0.967,0.967,0.967,1,0.867,,,
18EB_01-100.set,0.967,1,0.966,0.933,0.967,0.931,0.8,0.817,0.552,0.967,0.967,0.966,0.7,0.567,0.759,,,
19HB_01-100.set,0.917,0.967,0.786,0.85,0.967,0.786,0.7,0.967,0.607,0.95,0.95,0.893,0.8,0.683,0.786,,,
20JC_01-100.set,0.867,0.9,0.867,0.8,0.967,0.933,0.867,0.9,0.633,0.667,0.833,0.833,0.867,0.933,0.667,,,
22NL_01-100.set,0.933,1,0.967,0.933,0.967,0.967,0.7,0.967,0.6,0.967,0.967,1,0.833,0.9,0.733,,,
25DE_01-100.set,0.767,0.833,0.759,0.967,1,0.897,0.8,0.933,0.724,0.967,0.967,0.931,0.65,0.917,0.655,,,
27KA_01-100.set,0.917,0.967,0.759,0.9,0.933,0.69,0.65,0.967,0.621,0.8,0.883,0.897,0.7,0.867,0.793,,,
28KC_01-100.set,0.933,0.967,0.786,1,1,1,0.533,0.8,0.643,1,1,1,0.783,0.583,0.571,,,
30CK_01-100.set,1,1,1,1,1,0.966,1,0.967,0.897,0.967,0.967,0.931,1,1,0.759,,,
31JV_01-100.set,0.967,0.967,0.75,0.8,0.967,0.821,0.783,0.883,0.821,0.8,0.883,0.786,0.9,0.9,0.893,,,
32AC_01-100.set,0.817,0.9,0.643,0.483,0.783,0.643,0.917,0.95,0.786,0.783,0.967,0.679,0.9,1,0.679,,,
33IG_01-100.set,0.85,0.967,0.586,1,0.967,1,0.967,0.967,0.931,1,1,0.966,0.833,0.9,0.724,,,
34GL_01-100.set,1,1,0.893,0.933,1,1,0.65,0.967,0.643,0.9,0.883,0.857,0.933,0.917,0.929,,,
35JH_01-100.set,0.9,1,0.897,1,1,1,0.9,0.867,0.69,0.967,1,0.897,0.933,0.867,0.862,,,
36MS_01-100.set,0.9,0.933,0.793,0.933,1,0.931,0.617,0.95,0.862,0.867,0.967,0.897,0.867,0.967,0.793,,,
37DG_01-100.set,0.867,0.933,0.7,0.767,1,0.733,0.767,0.9,0.6,0.5,0.933,0.733,0.767,0.9,0.933,,,
38JC_01-100.set,1,1,0.759,0.933,0.933,0.931,0.767,0.9,0.586,0.617,0.717,0.655,0.7,0.883,0.552,,,
39MF_01-100.set,0.717,0.933,0.759,1,1,0.897,0.7,0.733,0.586,1,1,1,0.583,0.767,0.552,,,
40SL_01-100.set,0.917,1,0.828,1,1,1,1,1,0.862,0.933,0.967,0.931,1,1,0.966,,,
41IA_01-100.set,0.417,0.883,0.655,0.617,0.883,0.621,0.967,0.967,0.828,0.583,0.933,0.724,0.967,0.967,0.862,,,
Average,0.8879,0.963933333,0.817833333,0.915566667,0.973366667,0.901566667,0.7978,0.900666667,0.7031,0.891233333,0.941733333,0.8905,0.837766667,0.885633333,0.768433333,,,
Standard Deviation,0.137354399,0.043873591,0.119149307,0.1186771,0.046117155,0.114589728,0.162168155,0.102100469,0.123982299,0.134313499,0.057949403,0.095151331,0.132496111,0.127563232,0.118509328,,,
